,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
293,293,14,121,2.276863860391809,3.2697679351350804,5.606727446336482,4.375167070552578,0.0,0.0,0.0,41,6,227,False
294,294,14,124,2.292888288845751,2.8441195278369653,5.477639307936215,4.11308870932502,0.0,0.0,0.0,39,4,182,False
295,295,14,263,2.703780451146764,3.6897556046425355,6.793873300350232,5.0398090731691045,0.0,0.0,0.0,45,10,400,True
296,296,14,161,2.2337381090054707,3.346384331064596,5.689909506747678,4.1855839717741326,0.0,0.0,0.0,41,4,337,False
297,297,14,424,2.3731217104693174,3.6708428613516446,6.52034542846198,4.487531796656116,0.0,0.0,0.0,44,5,1187,True
298,298,14,464,2.4250167614621505,3.3426464680750425,5.759099991443912,4.138324992761609,0.0,0.0,0.0,40,4,192,False
299,299,14,327,2.061115049939538,2.8621238117108554,5.2225827895792225,3.746505894811764,0.0,0.0,0.0,44,7,569,True
300,300,14,94,2.6416771715623937,3.513862237394781,6.033571086267719,4.9085270913209476,0.0,0.0,0.0,42,8,480,True
301,301,14,209,2.4501723769410932,3.1722207344745144,5.8735790053998675,4.393525697441812,0.0,0.0,0.0,42,5,508,True
302,302,14,347,2.339189344078438,3.3281593036649486,5.033063557812665,4.278239550990604,0.0,0.0,0.0,44,5,276,False
303,303,14,62,2.4608939096254367,3.3765990114815096,5.258597542752993,4.306144729294472,0.0,0.0,0.0,40,4,390,True
304,304,14,386,2.1174202368510064,2.8130255631546253,5.182809622241318,3.831465930100924,0.0,0.0,0.0,40,6,360,True
305,305,14,417,2.3668831665132983,3.2000584256195266,5.986906551256638,4.259522535410996,0.0,0.0,0.0,42,7,581,True
306,306,14,36,2.6531814898303274,4.182770392975371,5.524000554403267,4.903816843256148,0.0,0.0,0.0,44,10,318,True
307,307,14,110,2.6192154949472477,2.771329695400635,5.9524577724463485,4.508018314365295,0.0,0.0,0.0,45,5,453,False
308,308,14,156,2.166594282450874,2.6363040734232728,4.960889454181375,3.962506613731642,0.0,0.0,0.0,42,5,405,False
309,309,14,51,2.2662490054639024,3.0808224135211546,5.486504507405766,4.160052021324608,0.0,0.0,0.0,45,6,646,False
310,310,14,458,2.4827744217126004,3.682716106129341,6.17313841143787,4.566416705337504,0.0,0.0,0.0,43,7,586,True
311,311,14,336,2.544271361480873,3.381992063509716,5.2922004170099015,4.256124060979946,0.0,0.0,0.0,40,5,134,True
312,312,14,420,2.163614137021534,2.9926826807647404,6.662865862649583,4.050156824532826,0.0,0.0,0.0,43,4,724,True
313,313,14,150,2.0648776000523115,2.923002062962038,5.593068942158856,3.8521921148314173,0.0,0.0,0.0,42,2,301,False
314,314,14,164,2.2615787035341226,2.618133208998437,7.0435973045544005,4.1042087475871165,0.0,0.0,0.0,42,6,240,False
315,315,14,214,2.7896262053903005,4.104718563379099,6.297352128773801,5.305598094780001,0.0,0.0,0.0,44,8,709,True
316,316,14,231,2.526954456331059,3.6393741327000058,7.763471807499171,4.766855527530487,0.0,0.0,0.0,43,7,525,False
317,317,14,240,2.579435817734396,2.9902144128697032,5.8689913972523104,4.607027133490113,0.0,0.0,0.0,43,6,561,False
318,318,14,63,2.0632134464599927,2.808834709279004,5.438215643097459,3.710356502567469,0.0,0.0,0.0,45,7,76,False
319,319,14,147,2.6867631382273083,3.3099722347394502,6.0493517374189905,4.950882011956888,0.0,0.0,0.0,46,7,1380,False
320,320,14,362,2.886947032892893,4.052772508539552,6.129400270349237,5.279189140084647,0.0,0.0,0.0,45,5,1107,True
321,321,14,145,2.0511608293355548,2.4060674030264617,6.3064025855756585,3.439091935322883,0.0,0.0,0.0,42,2,32,False
322,322,14,499,2.101847830287736,2.320664948427157,5.36318138312569,3.7140929569925283,0.0,0.0,0.0,41,5,241,False
323,323,14,139,2.4994700214295142,2.702701023790992,6.348448633721653,4.511062068325685,0.0,0.0,0.0,45,8,447,False
324,324,14,254,2.339832982603487,3.303095085496784,5.031527160953702,4.3013065141061935,0.0,0.0,0.0,43,4,454,False
325,325,14,285,2.609799387073583,3.5161788194844403,5.772760307362492,4.549330287042912,0.0,0.0,0.0,45,5,1417,True
326,326,14,188,1.875309969107264,2.532232858215795,4.258671958692124,3.2126117377244214,0.0,0.0,0.0,43,2,275,False
327,327,14,187,2.728121004215908,3.342587630649052,6.527912425031081,4.761974862244497,0.0,0.0,0.0,45,9,866,False
328,328,14,426,2.290012109168044,3.2614129970291788,5.4975138361720655,4.111601487069739,0.0,0.0,0.0,42,6,237,False
329,329,14,185,2.141543029352888,2.630348803146416,6.253968278714027,4.206175769462972,0.0,0.0,0.0,42,6,174,False
330,330,14,281,2.1539492163431504,2.4678142962263485,5.372711458086451,3.8416338202522455,0.0,0.0,0.0,45,5,182,False
331,331,14,224,2.1505199158962176,2.705127532652474,5.37338538923454,3.8790707312381336,0.0,0.0,0.0,43,4,164,False
332,332,14,144,2.5937270871303197,3.3231216172612523,5.2150078748303725,4.381070049160735,0.0,0.0,0.0,41,4,795,True
333,333,14,408,2.5832673464280966,4.062546944098473,6.814620931077155,5.172698936988441,0.0,0.0,0.0,43,7,393,False
334,334,14,370,2.3886802418487982,2.691023521644214,5.314278372205449,4.227888032761307,0.0,0.0,0.0,43,5,181,True
335,335,14,432,2.5077061849393405,3.4000292923440893,5.292702767139299,4.453613461720809,0.0,0.0,0.0,43,7,309,False
336,336,14,39,2.0755512047223097,2.6360119650879623,5.3373441209772485,3.716471227085104,0.0,0.0,0.0,41,8,192,False
337,337,14,200,2.670353556559751,3.5315976096471693,6.170223162470758,4.838385133894652,0.0,0.0,0.0,43,7,525,False
338,338,14,47,2.349863412663343,2.6322673511834083,5.1818017510639685,4.157231044507699,0.0,0.0,0.0,43,8,51,False
339,339,14,472,2.1491079024160187,2.919324107515927,5.994976298602652,3.959807300879202,0.0,0.0,0.0,42,4,886,True
340,340,14,75,2.757850348557541,3.0775324089495424,6.42203381891009,5.0313511251363465,0.0,0.0,0.0,44,6,764,True
341,341,14,275,2.148035915141004,2.7315344248568723,5.3664195035614535,3.984639166431725,0.0,0.0,0.0,46,5,594,True
342,342,14,401,2.0533761178694503,2.771834762934947,4.8903494507037815,3.7055396477272655,0.0,0.0,0.0,38,4,195,True
343,343,14,33,2.466313946321969,2.682310209565475,4.976107328242773,4.3571399134461055,0.0,0.0,0.0,44,4,1028,True
344,344,14,491,2.2107903336727426,2.798487102477355,5.135764582004257,4.022279691085217,0.0,0.0,0.0,44,7,951,True
345,345,14,154,2.2989589469457323,3.121412639702746,5.581617324641213,4.0719554866314285,0.0,0.0,0.0,42,5,962,True
346,346,14,237,2.227248117845355,3.0159043012001745,5.824147784025737,4.0342764842741285,0.0,0.0,0.0,42,4,813,True
347,347,14,133,2.2818391182386115,2.7849252380781104,5.479488366616301,4.12203841119115,0.0,0.0,0.0,44,10,628,False
348,348,14,210,2.2711763965444,1.9722637246078756,5.72000549295678,4.1793568984036735,0.0,0.0,0.0,41,6,168,False
349,349,14,269,2.3243976686011534,2.7768606672817366,6.108495540401265,4.325346173809498,0.0,0.0,0.0,44,4,363,True
350,350,14,415,2.2912216078507326,3.1213402757891804,5.139967691704008,4.098788382855182,0.0,0.0,0.0,41,4,461,False
351,351,14,169,2.1888456308272533,2.4433637871724296,5.049339868320624,3.7794101767451966,0.0,0.0,0.0,43,7,456,True
352,352,14,253,2.130330998189732,2.1412045752752578,5.573422896443149,4.0453431974875835,0.0,0.0,0.0,40,3,34,False
353,353,14,257,2.0934036335098973,2.118405566813104,4.601920184702566,3.5674434318453523,0.0,0.0,0.0,45,5,50,False
354,354,14,296,2.586745786824971,2.6943252247468408,6.165813835103192,4.558338689977903,0.0,0.0,0.0,41,4,309,True
355,355,14,135,2.075614247599592,2.8058230653356686,4.6867779836171035,3.786592391466166,0.0,0.0,0.0,45,5,542,False
356,356,14,241,2.388323201377525,3.0209132673394037,5.956238002232202,4.463568155288681,0.0,0.0,0.0,44,7,828,False
357,357,14,246,2.2058683913088384,2.9666168363491834,5.0697590234520415,4.141469291113634,0.0,0.0,0.0,41,6,496,True
358,358,14,366,2.450232301613189,3.3137074748954345,6.3569807258232895,4.5993237811967,0.0,0.0,0.0,43,5,433,False
359,359,14,481,2.4672302930629986,3.4427480219090745,5.156182229668316,4.41279304414885,0.0,0.0,0.0,44,6,509,False
360,360,14,497,2.2440480352664127,2.745234855711156,5.172468553427204,3.9998152185706304,0.0,0.0,0.0,44,3,471,False
361,361,14,157,2.321146998664664,2.7555970601754374,4.98013303096833,3.9917821661993367,0.0,0.0,0.0,43,4,279,True
362,362,14,203,2.083694716175188,2.6740075075167633,4.21942042206033,3.5119452754292824,0.0,0.0,0.0,40,7,214,False
363,363,14,49,2.2699805332867813,2.678221462368582,6.058410153702497,4.1438378580183866,0.0,0.0,0.0,44,6,176,False
364,364,14,40,2.265560033567284,2.45398636604669,5.989801822622612,3.9925581434386976,0.0,0.0,0.0,45,5,1297,True
365,365,14,398,2.03221034477727,3.045659797204733,4.867164741009528,3.7270079975145096,0.0,0.0,0.0,47,4,2442,True
366,366,14,56,2.5032794654925583,3.5548115656513164,6.1579102349859935,4.508739311903748,0.0,0.0,0.0,42,5,273,True
367,367,14,251,3.056847784370076,3.874935949452467,8.243257365129349,5.411965447974689,0.0,0.0,0.0,43,6,330,False
368,368,14,48,2.296306220974897,3.0915444782349737,5.643226333628071,4.265676148329661,0.0,0.0,0.0,41,5,662,False
369,369,14,54,2.5416571266217742,3.6556421701055295,6.1085877686448775,4.774884994695199,0.0,0.0,0.0,44,9,421,True
370,370,14,10,2.622761997688789,2.567991764869,6.762117818147372,4.532117823232314,0.0,0.0,0.0,45,8,620,True
371,371,14,166,2.3201918562663444,2.83750365385892,5.667914767228452,4.279051396442527,0.0,0.0,0.0,39,5,75,False
372,372,14,136,2.634659886248146,2.7603015562799316,6.619830191795733,5.017609060434012,0.0,0.0,0.0,42,5,349,False
373,373,14,216,2.2898037128644035,2.733197510470947,6.3220846157222175,4.1593748890710405,0.0,0.0,0.0,45,7,603,False
374,374,14,206,2.3739925469119045,3.111793296323107,5.54294994147425,4.0077445317764235,0.0,0.0,0.0,42,6,228,False
